jei-fm,https://radios.crabdance.com:7002/5
soup-fm-tamil-radio,https://usa3.fastcast4u.com/proxy/jeifm?mp=/1
big-fm-chennai-online,https://www.liveradio.es/http://usa7.fastcast4u.com:8808/soupfm
radio-city-live,https://radios.crabdance.com:7002/4
radio-mirchi-tamil-fm,https://radios.crabdance.com:7002/1
hello-fm-tamil-radio,https://southradios.net/play/puradsifm
radio-one-94-3,https://www.liveradio.es/http://51.158.169.255:8002/7
puradsi-fm,https://radios.crabdance.com:7002/3
chennai-fm-rainbow,https://air.pc.cdn.bitgravity.com/air/live/pbaudio022/playlist.m3u8
palaiya-paadal-radio,https://southradios.net/play/palaiyapaadalradio
american-tamil-radio,https://www.liveradio.es/http://69.46.24.226:7188/stream
thenral-world-radio,https://thenralw.radioca.st/LiveStream
