minnal-fm-92-3,https://www.liveradio.es/http://174.142.215.249:9966/;stream.mp3
cmrradio,https://www.liveradio.es/http://live.cmr24.net:8081/CMR/CMR-HQ/icecast.audio
east-fm-102-7,https://minnalfmmobile.secureswiftcontent.com/memorystreams/HLS/rtm-ch021/rtm-ch021.m3u8
natpu-fm-radio,https://www.liveradio.es/http://usa3.fastcast4u.com:5014/;stream.mp3
kummalam-radio,https://www.liveradio.es/http://kummalam.stream.laut.fm/kummalam
siruthai-fm,https://server.unicast2u.com:8100/stream
vanavil-fm-tamil-radio,https://s7.yesstreaming.net:8060/stream
chandrans-yuva-foundation-fm,https://eu3.fastcast4u.com/proxy/skajanee?mp=/;b
nakshatra-radio-tamil-fm,https://playerservices.streamtheworld.com/api/livestream-redirect/NAKSHATRA_S01AAC_SC
us-tamil-fm,https://www.liveradio.es/http://104.200.16.182:8000/;stream.mp3
pollachi-tamil-fm,https://www.liveradio.es/http://stream.zenolive.com/vgsk3a0pb2zuv.aac
muthtamizh-tamil-radio,https://www.liveradio.es/http://streaming.radio.co/s0cfc93915/listen
paasam-tamil-fm,https://www.liveradio.es/http://node-24.zeno.fm/w8spm96nc18uv
rythm-mix-fm,https://ec2.yesstreaming.net:1955/stream
innisai-radio,https://www.liveradio.es/http://37.187.93.104:8432/stream
tamilar-kural-radio,https://www.liveradio.es/http://sc10.streamingpulse.tv:8090/;stream.mp3
